post_id,likes,comment_likes_sum,sentiment_positive,sentiment_negative,sentiment_neutral,avg_comment_sentiment,num_comments,sentiment_weighted_engagement
1924095096190508943,451,11,0.4015796753681368,0.148891742574051,0.4495285794966751,0.2526879327940858,18,4.5483827902935445
1924099996647463995,988,19,0.6817665252213677,0.0436207527139534,0.2746127331241344,0.6381457725074142,24,15.31549854017794
1924627614606230180,539,5,0.2927936401901145,0.3712789221082089,0.3359274340669314,-0.0784852819180944,18,-1.412735074525699
1924925474203576397,275,3,0.2238274940599997,0.1295750954654067,0.6465974199275176,0.094252398594593,15,1.4137859789188951
1924956656295460901,260,5,0.348963410194431,0.3627280897926539,0.2883085379643099,-0.0137646795982228,7,-0.0963527571875602
1925129285367012061,1389,30,0.2738846223768981,0.2756810823180105,0.4504342850200508,-0.0017964599411124,23,-0.0413185786455869
1925154670360230929,409,25,0.4770616297204705,0.1512494222814326,0.3716889507783686,0.3258122074390378,17,5.538807526463643
1925634585987722914,327,13,0.2997428360084692,0.2801745904764781,0.4200825796773036,0.0195682455319911,15,0.2935236829798668
1926399619705764782,490,1,0.4866087327990681,0.1659798025277753,0.3474114725505933,0.3206289302712927,24,7.695094326511025
1926471411057113020,213,8,0.4803853446245194,0.1179774368973449,0.4016372260451317,0.3624079077271744,12,4.3488948927260935
1926801147356669785,326,13,0.3560034001991153,0.2802412964217365,0.3637552999003845,0.0757621037773788,17,1.2879557642154396
1926814687870138568,731,28,0.293250600778653,0.3325566745580484,0.3741927229364712,-0.0393060737793954,24,-0.9433457707054912
1926971147346269567,1686,4,0.2712815541114348,0.2940973214960347,0.4346211242955178,-0.0228157673845998,24,-0.5475784172303975
1927680904617201740,456,14,0.5375092683779076,0.1507244395860471,0.3117663057148456,0.3867848287918605,16,6.188557260669768
1927895302875118583,336,10,0.4709668051738006,0.1961912963736372,0.3328419080433937,0.2747755088001632,13,3.5720816144021224
1928335071262122736,337,8,0.5363587099483067,0.1774015225698663,0.2862397698312998,0.3589571873784404,11,3.948529061162844
1929131139415462107,293,0,0.5420152163070937,0.1093896181881427,0.3485951628660162,0.4326255981189509,12,5.191507177427411
1929825818599661108,653,3,0.1896975726742918,0.4006708120616774,0.4096316062224407,-0.2109732393873855,24,-5.063357745297253
1930041130351620600,238,5,0.6757581904530525,0.0351160483745237,0.2891257607067625,0.6406421420785288,6,3.843852852471173
1930118597435217991,408,24,0.4414492573198818,0.1062268165481232,0.4523239237815141,0.3352224407717585,21,7.03967125620693
1930774884661836502,767,13,0.2552408101654759,0.251200409790403,0.4935587772256449,0.0040404003750728,19,0.0767676071263849
1930918191463261776,745,9,0.2137849130186563,0.4002299746259814,0.3859851113706827,-0.1864450616073251,24,-4.474681478575803
1931520877380390228,371,10,0.2924784937966615,0.2906358360328401,0.416885678358376,0.0018426577638213,24,0.0442237863317132
1931522576023196103,734,0,0.2735540214087814,0.2951461364608258,0.43129983390371,-0.0215921150520443,24,-0.5182107612490654
1931552745417080269,504,17,0.6478337403138479,0.1207816183978381,0.2313846470702749,0.5270521219160097,24,12.649250925984234
1931916784001154258,538,20,0.2720992542816592,0.3342013377476749,0.393699403796345,-0.0621020834660157,28,-1.7388583370484412
1931919200448782134,601,16,0.2665970038403483,0.2088925017810919,0.5245104869279791,0.0577045020592563,17,0.9809765350073576
1933620380682009545,323,10,0.4021991180181503,0.0899158563390374,0.5078850153982639,0.3122832616791129,10,3.122832616791129
1934565540773265434,531,18,0.2753569324796691,0.2841780817267649,0.4404649856292149,-0.0088211492470958,17,-0.1499595372006297
1934862262380587598,419,30,0.2720452436506748,0.2821952099551757,0.4457595425446828,-0.0101499663045008,15,-0.1522494945675134
1934898381906343015,395,28,0.3339958722604548,0.280417427229969,0.3855867057688096,0.0535784450304858,17,0.91083356551826
1934929801286604613,664,2,0.7597379766901334,0.0595776846352964,0.1806843395726311,0.700160292054837,21,14.703366133151576
1934944958033178646,277,14,0.5824845128399986,0.0957465369892971,0.3217689526985798,0.4867379758507013,14,6.814331661909819
1935059088258046644,164,2,0.3518948877851168,0.3303132330377896,0.3177918766935666,0.0215816547473271,3,0.0647449642419815
1935524825670084460,334,16,0.15934990386996,0.4141209197872215,0.4265291811029116,-0.2547710159172614,9,-2.292939143255353
1935725459773941042,1347,16,0.31248419505544,0.3273008498821097,0.3602149474372466,-0.0148166548266696,24,-0.3555997158400714
1936491602231051609,297,10,0.5351441359973472,0.1307710020728004,0.3340848643948202,0.4043731339245467,23,9.300582080264576
1937044626280208322,420,2,0.5373900706846925,0.1090160106453935,0.3535939204298398,0.4283740600392989,17,7.282359020668082
1937096094601257084,360,1,0.3741743573918938,0.3743373258039355,0.2514883317053318,-0.0001629684120416,6,-0.0009778104722499
1937234881704853801,216,7,0.6123035585218006,0.0609338369344671,0.3267625875729653,0.5513697215873334,9,4.962327494286001
1937748956465400775,143,0,0.3400471657514572,0.2882222719490528,0.3717305809259414,0.0518248938024044,2,0.1036497876048088
1937829717411414351,535,17,0.3288009704556316,0.1767104631289839,0.4944885578006506,0.1520905073266476,16,2.4334481172263622
1937859023433052634,1175,17,0.4608356740698218,0.1380408906168304,0.4011234496906399,0.3227947834529914,24,7.7470748028717935
1937917292407154454,192,0,0.2588030993938446,0.1868165880441665,0.5543802976608276,0.071986511349678,1,0.071986511349678
1937924298916313340,907,20,0.2936152182924358,0.2815111147077835,0.4248736614118452,0.0121041035846523,23,0.2783943824470043
1937928350421102098,1473,6,0.1108243490584815,0.5183852524434527,0.3707903918623924,-0.4075609033849711,24,-9.781461681239309
1938005160542433116,651,22,0.350564228137955,0.265629048886088,0.3838067232475926,0.084935179251867,24,2.038444302044809
1938166101103972259,298,15,0.6814652070403099,0.0223201548680663,0.2962146328762173,0.6591450521722436,5,3.295725260861218
1938563321280072708,414,4,0.7607728037925867,0.0614644010458141,0.1777628076090835,0.6993084027467725,13,9.091009235708045
1938708166285870853,477,0,0.2753813804207103,0.2941334294102021,0.4304851844481059,-0.0187520489894918,14,-0.2625286858528852
1939181529351699204,232,12,0.290340242585024,0.2815444744550265,0.4281152842136529,0.0087957681299975,13,0.1143449856899678
1939586825081503244,613,0,0.2581037685952403,0.2871978025544773,0.4546984420581297,-0.029094033959237,11,-0.3200343735516071
1939627656404364045,443,5,0.7344631907376258,0.1131596378038597,0.1523771750926971,0.6213035529337662,23,14.28998171747662
1939645034337138320,780,0,0.339441521433182,0.2109080623392947,0.4496504327779014,0.1285334590938873,24,3.0848030182532966
1941554686595352240,643,19,0.5883862953508894,0.1665352281485684,0.2450784783437848,0.4218510672023209,24,10.124425612855704
1942729738636327587,327,0,0.4308590659002463,0.3020523044342796,0.2670886181791623,0.1288067614659667,3,0.3864202843979001
1942737039250334779,484,0,0.7010066558917364,0.0867182503764828,0.2122750971466303,0.6142884055152535,6,3.685730433091521
1943111029533913697,586,3,0.4533000319823623,0.252942964855271,0.2937570107293625,0.2003570671270912,24,4.8085696110501885
1943125989248738104,148,9,0.3575353282503783,0.2952845025186737,0.3471801289253765,0.0622508257317046,9,0.5602574315853417
1943199099809446696,479,0,0.4042502529919147,0.2095833253115415,0.3861664198338985,0.1946669276803732,12,2.3360031321644783
1943621793705332954,128,3,0.5745030790567398,0.14273782327239,0.2827591047223125,0.4317652557843497,7,3.0223567904904485
1943681601200340964,572,2,0.2872232347648394,0.2661093017620672,0.4466674553975462,0.0211139330027723,19,0.4011647270526737
1943682729224891418,334,7,0.1411048183931658,0.4869654487445951,0.3719297428739567,-0.3458606303514291,24,-8.3006551284343
1943731707949752186,320,2,0.3646502662375569,0.2138888880070299,0.4214608412384987,0.150761378230527,10,1.5076137823052704
1945033907179211786,268,3,0.5635465937001365,0.0480346675030887,0.3884187564253807,0.5155119261970478,7,3.608583483379334
